symbol,y,x1,x2,x3,x4,underwriter,exchange
AAOI,1.009,1.000,36000,0.286,0.024,4-38,1
AAPC,1.003,1.001,75075,0.740,0.033,18,1
AAVL,1.099,1.471,150000,0.281,0.103,3-4-41,1
ABCW,1.043,1.102,10660,0.040,0.057,34-39,1
ABGB,1.036,1.012,616500,0.355,0.004,18-77,1
ABY,1.021,1.212,873725,0.311,0.111,8-18,1
ACRX,1.018,1.000,40000,0.413,0.096,4,1
ADAP,1.013,1.132,216562,0.159,0.097,8-41-56,1
ADHD,1.006,1.031,25781,0.281,0.019,69,1
ADMS,1.023,1.053,50550,0.183,0.047,1-4,1
ADRO,1.070,1.882,224000,0.119,0.113,8-56,1
AEGR,1.126,1.021,48500,0.297,0.003,56-80,1
AERI,1.029,1.055,70896,0.303,0.034,10-26,1
AFH,1.022,1.000,24131,0.540,0.011,34,1
AFMD,1.007,0.993,55600,0.334,0.062,3-31-56,1
AGIO,1.051,1.611,170777,0.195,0.104,2-19,1
AGRX,1.064,0.917,50416,0.493,0.050,6-10,1
AGTC,1.059,1.062,53125,0.311,0.015,17-31-43,1
AKAO,1.089,1.071,77100,0.358,0.081,1-41,1
AKBA,1.043,1.347,134705,0.305,0.128,1-7,1
AKER,1.007,1.029,15434,0.557,0.011,69,1
ALDR,1.029,1.035,82800,0.268,0.021,1-56,1
ALDX,1.041,0.938,11250,0.290,0.031,69,1
ALRM,1.097,1.146,112350,0.156,0.166,1-2-8,1
ALTR,1.025,1.308,204000,0.561,0.144,10-19-21,1
AMBA,1.013,1.118,40260,0.232,0.052,7-21,1
AMDA,1.055,1.071,21560,0.289,0.035,33,1
AMPH,1.107,1.000,56000,0.184,0.080,3-4-31,1
AMRS,1.044,1.031,87450,0.123,0.032,2-7,1
ANAC,1.030,1.000,60000,0.451,0.057,18-21,1
ANGI,1.042,1.385,158281,0.158,0.142,8,1
APIC,1.025,1.176,102300,0.176,0.155,1-7-19,1
APPF,1.131,1.012,75330,1.000,0.056,1-7,1
AQMS,1.008,1.300,42900,0.492,0.014,15,1
AQXP,1.059,1.073,49560,0.418,0.045,3-41,1
ARCP,1.009,1.000,110000,0.970,0.001,96-168,1
ARDX,1.026,1.036,62147,0.240,0.052,18-56,1
ARGS,1.113,1.113,50062,0.295,0.016,4-26-33,1
ASND,1.022,1.194,129000,0.262,0.085,8-56,1
ATOS,1.099,0.910,3640,0.062,0.009,113,1
ATRA,1.101,0.899,49450,0.258,0.031,2-18,1
AVGR,1.013,1.033,67150,0.489,0.000,11-41,1
AVNU,1.000,1.300,35750,0.250,0.010,35,1
AWAY,1.058,1.337,288800,0.100,0.179,7,1
BBRG,1.103,1.036,145000,0.519,0.079,3-4-37,1
BCOV,1.062,1.318,72500,0.190,0.104,7-26,1
