symbol,y,x1,x2,x3,x4,underwriter,exchange,t10,p30,t30,p1h,t1h,p1d,t1d
AAOI,1.009,1.000,36000,0.286,0.024,4-38,1,0,1.009,0,1.009,0,1.009,0
AAPC,1.003,1.001,75075,0.740,0.033,18,1,0,1.006,21,1.006,21,1.007,322
AAVL,1.099,1.471,150000,0.281,0.103,3-4-41,1,7,1.099,7,1.099,7,1.158,66
ABCW,1.043,1.102,10660,0.040,0.057,34-39,1,0,1.071,19,1.071,19,1.097,323
ABGB,1.036,1.012,616500,0.355,0.004,18-77,1,2,1.036,11,1.036,11,1.036,11
ABY,1.024,1.212,873725,0.311,0.111,8-18,1,10,1.052,16,1.052,16,1.089,343
ACRX,1.018,1.000,40000,0.413,0.096,4,1,0,1.018,0,1.018,0,1.018,0
ADAP,1.013,1.132,216562,0.159,0.097,8-41-56,1,0,1.013,0,1.013,0,1.013,0
ADHD,1.006,1.031,25781,0.281,0.019,69,1,0,1.006,0,1.006,0,1.006,0
ADMS,1.023,1.053,50550,0.183,0.047,1-4,1,0,1.023,0,1.023,0,1.023,0
ADRO,1.070,1.882,224000,0.119,0.113,8-56,1,1,1.090,15,1.141,48,1.312,322
AEGR,1.126,1.021,48500,0.297,0.003,56-80,1,4,1.126,4,1.126,4,1.126,4
AERI,1.029,1.055,70896,0.303,0.034,10-26,1,0,1.029,0,1.029,0,1.029,0
AFH,1.022,1.000,24131,0.540,0.011,34,1,2,1.022,2,1.022,2,1.022,2
AFMD,1.007,0.993,55600,0.334,0.062,3-31-56,1,0,1.007,0,1.007,0,1.007,0
AGIO,1.051,1.611,170777,0.195,0.104,2-19,1,2,1.051,2,1.051,2,1.103,298
AGRX,1.064,0.917,50416,0.493,0.050,6-10,1,9,1.102,23,1.102,23,1.102,23
AGTC,1.059,1.062,53125,0.311,0.015,17-31-43,1,0,1.096,28,1.216,59,1.319,64
AKAO,1.089,1.071,77100,0.358,0.081,1-41,1,0,1.089,0,1.089,0,1.128,100
AKBA,1.047,1.347,134705,0.305,0.128,1-7,1,10,1.064,13,1.064,13,1.245,295
AKER,1.007,1.029,15434,0.557,0.011,69,1,0,1.007,0,1.007,0,1.007,0
ALDR,1.029,1.035,82800,0.268,0.021,1-56,1,1,1.029,1,1.029,1,1.029,1
ALDX,1.041,0.938,11250,0.290,0.031,69,1,1,1.041,1,1.041,1,1.041,1
ALRM,1.097,1.146,112350,0.156,0.166,1-2-8,1,9,1.114,13,1.114,13,1.114,13
ALTR,1.025,1.308,204000,0.561,0.144,10-19-21,1,0,1.025,0,1.025,0,1.116,300
AMBA,1.013,1.118,40260,0.232,0.052,7-21,1,0,1.021,19,1.021,19,1.021,19
