symbol,y,x1,x2,x3,x4,underwriter,exchange,t10,pl10,tl10,pc10,p30,t30,pl30,tl30,pc30,p1h,t1h,pl1h,tl1h,pc1h,p1d,t1d,pl1d,tl1d,pc1d
AAOI,1.009,1.000,36000,0.286,0.024,4-38,1,112047,0.937,112219,0.984,1.009,112047,0.937,112219,0.992,1.009,112047,0.937,112219,0.984,1.009,112047,0.937,112219,0.996
AAPC,1.003,1.001,75075,0.740,0.033,18,1,103427,1.000,103347,1.003,1.006,105511,1.000,103347,1.002,1.006,105511,1.000,103347,1.003,1.007,155614,1.000,103347,1.005
AAVL,1.099,1.471,150000,0.281,0.103,3-4-41,1,103206,0.962,102605,1.044,1.099,103206,0.962,102605,1.024,1.099,103206,0.962,102605,1.076,1.158,113145,0.962,102605,1.120
ABCW,1.043,1.102,10660,0.040,0.057,34-39,1,102627,0.977,102804,1.029,1.071,104552,0.977,102804,1.050,1.071,104552,0.977,102804,1.047,1.097,154947,0.977,102804,1.058
ABGB,1.036,1.012,616500,0.355,0.004,18-77,1,120757,0.994,120534,1.032,1.036,121633,0.994,120534,1.029,1.036,121633,0.994,120534,1.002,1.036,121633,0.994,120534,1.001
ABY,1.024,1.212,873725,0.311,0.111,8-18,1,101313,0.995,100528,1.023,1.052,101854,0.995,100528,1.012,1.052,101854,0.995,100528,1.012,1.089,154605,0.995,100528,1.052
ACRX,1.018,1.000,40000,0.413,0.096,4,1,114015,0.952,114505,0.960,1.018,114015,0.904,121102,0.904,1.018,114015,0.902,121403,0.922,1.018,114015,0.902,121403,0.914
ADAP,1.013,1.132,216562,0.159,0.097,8-41-56,1,104235,0.878,105148,0.899,1.013,104235,0.858,111310,0.869,1.013,104235,0.844,114303,0.845,1.013,104235,0.806,120409,0.834
ADHD,1.006,1.031,25781,0.281,0.019,69,1,102026,0.972,102437,0.975,1.006,102026,0.970,103912,0.976,1.006,102026,0.918,110951,0.925,1.006,102026,0.868,155157,0.915
ADMS,1.023,1.053,50550,0.183,0.047,1-4,1,102523,0.979,102557,0.997,1.023,102523,0.928,104908,0.962,1.023,102523,0.906,111733,0.920,1.023,102523,0.831,155910,0.831
ADRO,1.070,1.882,224000,0.119,0.113,8-56,1,103901,0.956,103731,1.024,1.090,105300,0.956,103731,1.069,1.141,112524,0.956,103731,1.092,1.312,155956,0.956,103731,1.312
AEGR,1.126,1.021,48500,0.297,0.003,56-80,1,150506,0.995,150059,1.111,1.126,150506,0.995,150059,1.077,1.126,150506,0.995,150059,1.113,1.126,150506,0.995,150059,1.113
AERI,1.029,1.055,70896,0.303,0.034,10-26,1,105202,0.982,110022,1.007,1.029,105202,0.982,110022,0.987,1.029,105202,0.972,112441,0.986,1.029,105202,0.972,112441,1.006
AFH,1.022,1.000,24131,0.540,0.011,34,1,110714,1.000,110508,1.003,1.022,110714,1.000,110508,1.000,1.022,110714,1.000,110508,1.000,1.022,110714,1.000,110508,1.017
AFMD,1.007,0.993,55600,0.334,0.062,3-31-56,1,105316,0.950,110333,0.967,1.007,105316,0.950,110333,0.964,1.007,105316,0.921,115318,0.921,1.007,105316,0.810,155823,0.820
AGIO,1.051,1.611,170777,0.195,0.104,2-19,1,110228,0.974,110709,1.016,1.051,110228,0.937,112945,0.958,1.051,110228,0.937,112945,0.979,1.103,155813,0.937,112945,1.082
AGRX,1.064,0.917,50416,0.493,0.050,6-10,1,110827,0.918,105932,1.045,1.102,112206,0.918,105932,1.089,1.102,112206,0.918,105932,1.064,1.102,112206,0.918,105932,1.007
AGTC,1.059,1.062,53125,0.311,0.015,17-31-43,1,102534,0.980,102940,1.014,1.096,105335,0.980,102940,1.089,1.216,112516,0.980,102940,1.210,1.319,112954,0.980,102940,1.157
AKAO,1.089,1.071,77100,0.358,0.081,1-41,1,102513,0.997,102623,1.064,1.089,102513,0.997,102623,1.058,1.089,102513,0.997,102623,1.070,1.128,120549,0.997,102623,1.113
AKBA,1.047,1.347,134705,0.305,0.128,1-7,1,110825,0.961,105828,1.047,1.064,111113,0.961,105828,1.011,1.064,111113,0.917,115447,0.961,1.245,155346,0.900,123826,1.166
AKER,1.007,1.029,15434,0.557,0.011,69,1,141015,0.940,141158,0.977,1.007,141015,0.940,141158,0.963,1.007,141015,0.940,141158,0.966,1.007,141015,0.940,141158,0.973
ALDR,1.029,1.035,82800,0.268,0.021,1-56,1,100631,0.984,100815,1.000,1.029,100631,0.982,102800,0.990,1.029,100631,0.962,110041,0.970,1.029,100631,0.918,135720,0.966
ALDX,1.041,0.938,11250,0.290,0.031,69,1,150126,0.940,151027,0.951,1.041,150126,0.828,151949,0.880,1.041,150126,0.801,154546,0.960,1.041,150126,0.801,154546,0.960
ALRM,1.097,1.146,112350,0.156,0.166,1-2-8,1,105357,1.000,104440,1.077,1.114,105827,1.000,104440,1.062,1.114,105827,1.000,104440,1.058,1.114,105827,0.991,130047,1.047
ALTR,1.025,1.308,204000,0.561,0.144,10-19-21,1,103702,0.984,103720,1.013,1.025,103702,0.974,105102,0.999,1.025,103702,0.974,105102,1.000,1.116,153629,0.974,105102,1.077
AMBA,1.013,1.118,40260,0.232,0.052,7-21,1,110031,0.955,110703,0.979,1.021,111917,0.955,110703,0.976,1.021,111917,0.936,115149,0.954,1.021,111917,0.894,152948,0.902
