symbol,date,y,x1,x2,x3,x4,underwriter,exchange,topen,t10,pl10,tl10,pc10,gm10,p30,t30,pl30,tl30,pc30,gm30,p1h,t1h,pl1h,tl1h,pc1h,gm1h,p1d,t1d,pl1d,tl1d,pc1d,gm1d,p1m,t1m,pl1m,tl1m,pc1m,gm1m
AAOI,20130926,1.009,1.000,36000,0.286,0.024,4-38,1,112011,112047,0.937,112219,0.984,36,1.009,112047,0.937,112219,0.992,97,1.009,112047,0.937,112219,0.984,292,1.009,112047,0.937,112219,0.996,337,1.009,112047,0.950,112157,0.962,8
AAPC,20150429,1.003,1.001,75075,0.740,0.033,18,1,103347,103427,1.000,103347,1.003,55,1.006,105511,1.000,103347,1.002,145,1.006,105511,1.000,103347,1.003,267,1.007,155614,1.000,103347,1.005,739,1.003,103427,1.000,103347,1.001,13
AAVL,20140731,1.099,1.471,150000,0.281,0.103,3-4-41,1,102503,103206,0.962,102605,1.044,4,1.099,103206,0.962,102605,1.024,21,1.099,103206,0.962,102605,1.076,27,1.158,113145,0.962,102605,1.120,151,1.020,102503,0.962,102605,0.984,3
ABCW,20141022,1.043,1.102,10660,0.040,0.057,34-39,1,102621,102627,0.977,102804,1.029,56,1.071,104552,0.977,102804,1.050,96,1.071,104552,0.977,102804,1.047,457,1.097,154947,0.977,102804,1.058,1152,1.043,102627,0.977,102804,0.986,36
ABGB,20131017,1.036,1.012,616500,0.355,0.004,18-77,1,120516,120757,0.994,120534,1.032,13,1.036,121633,0.994,120534,1.029,60,1.036,121633,0.994,120534,1.002,190,1.036,121633,0.994,120534,1.001,298,1.024,120644,0.994,120534,1.022,5
ABY,20140613,1.024,1.212,873725,0.311,0.111,8-18,1,100251,101313,0.995,100528,1.023,4,1.052,101854,0.995,100528,1.012,6,1.052,101854,0.995,100528,1.012,18,1.089,154605,0.995,100528,1.052,123,1.007,100431,0.996,100336,1.003,1
ACRX,20110211,1.018,1.000,40000,0.413,0.096,4,1,114007,114015,0.952,114505,0.960,55,1.018,114015,0.904,121102,0.904,137,1.018,114015,0.902,121403,0.922,139,1.018,114015,0.902,121403,0.914,809,1.018,114015,0.980,114140,0.990,8
ADAP,20150506,1.013,1.132,216562,0.159,0.097,8-41-56,1,104235,104235,0.878,105148,0.899,5,1.013,104235,0.858,111310,0.869,35,1.013,104235,0.844,114303,0.845,37,1.013,104235,0.806,120409,0.834,211,1.013,104235,0.956,104413,0.966,2
ADHD,20130522,1.006,1.031,25781,0.281,0.019,69,1,102013,102026,0.972,102437,0.975,36,1.006,102026,0.970,103912,0.976,69,1.006,102026,0.918,110951,0.925,107,1.006,102026,0.868,155157,0.915,416,1.006,102026,0.977,102116,0.978,6
ADMS,20140410,1.023,1.053,50550,0.183,0.047,1-4,1,102510,102523,0.979,102557,0.997,12,1.023,102523,0.928,104908,0.962,25,1.023,102523,0.906,111733,0.920,106,1.023,102523,0.831,155910,0.831,344,1.023,102523,0.979,102557,0.983,5
ADRO,20150415,1.070,1.882,224000,0.119,0.113,8-56,1,103708,103901,0.956,103731,1.024,6,1.090,105300,0.956,103731,1.069,21,1.141,112524,0.956,103731,1.092,21,1.312,155956,0.956,103731,1.312,899,1.070,103901,0.956,103731,1.060,3
AEGR,20101022,1.126,1.021,48500,0.297,0.003,56-80,1,150011,150506,0.995,150059,1.111,58,1.126,150506,0.995,150059,1.077,102,1.126,150506,0.995,150059,1.113,155,1.126,150506,0.995,150059,1.113,155,1.045,150034,0.995,150059,1.021,11
AERI,20131025,1.029,1.055,70896,0.303,0.034,10-26,1,105117,105202,0.982,110022,1.007,14,1.029,105202,0.982,110022,0.987,41,1.029,105202,0.972,112441,0.986,41,1.029,105202,0.972,112441,1.006,159,1.029,105202,0.983,105131,0.996,3
AFH,20130212,1.022,1.000,24131,0.540,0.011,34,1,110508,110714,1.000,110508,1.003,111,1.022,110714,1.000,110508,1.000,534,1.022,110714,1.000,110508,1.000,931,1.022,110714,1.000,110508,1.017,5037,1.015,110518,1.000,110508,1.000,61
AFMD,20140912,1.007,0.993,55600,0.334,0.062,3-31-56,1,105316,105316,0.950,110333,0.967,14,1.007,105316,0.950,110333,0.964,46,1.007,105316,0.921,115318,0.921,70,1.007,105316,0.810,155823,0.820,185,1.007,105316,0.973,105320,0.997,6
AGIO,20130724,1.051,1.611,170777,0.195,0.104,2-19,1,110009,110228,0.974,110709,1.016,7,1.051,110228,0.937,112945,0.958,19,1.051,110228,0.937,112945,0.979,35,1.103,155813,0.937,112945,1.082,129,1.033,110131,0.998,110052,1.027,1
AGRX,20140523,1.064,0.917,50416,0.493,0.050,6-10,1,105835,110827,0.918,105932,1.045,14,1.102,112206,0.918,105932,1.089,32,1.102,112206,0.918,105932,1.064,129,1.102,112206,0.918,105932,1.007,166,1.025,105856,0.918,105932,1.006,4
AGTC,20140327,1.059,1.062,53125,0.311,0.015,17-31-43,1,102522,102534,0.980,102940,1.014,29,1.096,105335,0.980,102940,1.089,29,1.216,112516,0.980,102940,1.210,55,1.319,112954,0.980,102940,1.157,233,1.059,102534,0.988,102602,1.020,11
AKAO,20140312,1.089,1.071,77100,0.358,0.081,1-41,1,102505,102513,0.997,102623,1.064,7,1.089,102513,0.997,102623,1.058,24,1.089,102513,0.997,102623,1.070,36,1.128,120549,0.997,102623,1.113,167,1.089,102513,0.997,102623,1.019,2
AKBA,20140320,1.047,1.347,134705,0.305,0.128,1-7,1,105755,110825,0.961,105828,1.047,4,1.064,111113,0.961,105828,1.011,24,1.064,111113,0.917,115447,0.961,26,1.245,155346,0.900,123826,1.166,139,1.004,105904,0.961,105828,0.991,2
AKER,20140123,1.007,1.029,15434,0.557,0.011,69,1,141014,141015,0.940,141158,0.977,34,1.007,141015,0.940,141158,0.963,350,1.007,141015,0.940,141158,0.966,434,1.007,141015,0.940,141158,0.973,434,1.007,141015,0.940,141158,0.940,10
ALDR,20140508,1.029,1.035,82800,0.268,0.021,1-56,1,100513,100631,0.984,100815,1.000,35,1.029,100631,0.982,102800,0.990,35,1.029,100631,0.962,110041,0.970,35,1.029,100631,0.918,135720,0.966,257,1.029,100631,0.989,100548,0.992,5
ALDX,20140502,1.041,0.938,11250,0.290,0.031,69,1,150015,150126,0.940,151027,0.951,139,1.041,150126,0.828,151949,0.880,139,1.041,150126,0.801,154546,0.960,139,1.041,150126,0.801,154546,0.960,139,1.041,150126,0.980,150109,1.020,16
ALRM,20150626,1.097,1.146,112350,0.156,0.166,1-2-8,1,104440,105357,1.000,104440,1.077,5,1.114,105827,1.000,104440,1.062,10,1.114,105827,1.000,104440,1.058,12,1.114,105827,0.991,130047,1.047,38,1.058,104602,1.000,104440,1.040,0
ALTR,20171101,1.025,1.308,204000,0.561,0.144,10-19-21,1,103620,103702,0.984,103720,1.013,9,1.025,103702,0.974,105102,0.999,15,1.025,103702,0.974,105102,1.000,52,1.116,153629,0.974,105102,1.077,82,1.025,103702,0.984,103720,1.000,2
AMBA,20121010,1.013,1.118,40260,0.232,0.052,7-21,1,110007,110031,0.955,110703,0.979,6,1.021,111917,0.955,110703,0.976,45,1.021,111917,0.936,115149,0.954,45,1.021,111917,0.894,152948,0.902,45,1.013,110031,0.970,110200,0.981,4
AMDA,20140213,1.055,1.071,21560,0.289,0.035,33,1,102806,102806,0.933,103423,1.010,19,1.055,102806,0.933,103423,1.000,115,1.055,102806,0.933,103423,1.006,115,1.055,102806,0.860,150534,0.875,210,1.055,102806,0.969,102934,0.982,5
AMPH,20140625,1.107,1.000,56000,0.184,0.080,3-4-31,1,105004,105903,0.953,105323,1.059,17,1.107,105903,0.953,105323,1.089,41,1.117,114547,0.953,105323,1.093,105,1.279,155009,0.953,105323,1.250,105,1.036,105004,1.000,105004,1.006,5
AMRS,20100928,1.044,1.031,87450,0.123,0.032,2-7,1,104006,104100,1.000,104006,1.040,15,1.045,105133,1.000,104006,1.033,29,1.057,111834,1.000,104006,1.034,51,1.057,111834,0.999,154735,1.000,155,1.044,104100,1.000,104006,1.032,3
ANAC,20101124,1.030,1.000,60000,0.451,0.057,18-21,1,102509,102558,0.912,102509,1.004,41,1.030,102558,0.912,102509,1.000,63,1.030,102558,0.912,102509,1.000,123,1.030,102558,0.912,102509,1.000,830,1.030,102558,0.912,102509,1.000,5
ANGI,20111117,1.042,1.385,158281,0.158,0.142,8,1,105012,105025,0.908,105555,0.921,5,1.042,105025,0.889,111935,0.894,8,1.042,105025,0.889,111935,0.892,36,1.042,105025,0.834,124610,0.903,110,1.042,105025,0.929,105125,0.982,1
APIC,20150424,1.025,1.176,102300,0.176,0.155,1-7-19,1,105647,105720,0.955,110015,0.966,4,1.025,105720,0.925,112740,0.926,20,1.025,105720,0.877,113856,0.925,92,1.025,105720,0.826,155827,0.835,92,1.025,105720,0.975,105847,0.975,2
APPF,20150626,1.131,1.012,75330,1.000,0.056,1-7,1,111511,111739,0.997,111511,1.103,9,1.170,114534,0.997,111511,1.152,20,1.170,121218,0.997,111511,1.169,75,1.224,124208,0.997,111511,1.159,110,1.062,111711,0.997,111511,1.062,2
AQMS,20150731,1.008,1.300,42900,0.492,0.014,15,1,114010,114030,0.917,114957,0.938,57,1.008,114030,0.883,115910,0.923,119,1.008,114030,0.855,124004,0.862,364,1.008,114030,0.808,140013,0.823,556,1.008,114030,0.963,114028,0.975,47
AQXP,20140307,1.064,1.073,49560,0.418,0.045,3-41,1,102520,103618,0.954,102755,1.064,9,1.065,103622,0.954,102755,1.008,44,1.065,103622,0.954,102755,1.003,44,1.065,103622,0.954,102755,0.982,3008,1.038,102527,0.974,102711,0.984,5
ARCP,20110907,1.009,1.000,110000,0.970,0.001,96-168,1,150005,150413,1.000,150005,1.009,181,1.036,152648,1.000,150005,1.002,1157,1.036,152648,1.000,150005,1.013,1157,1.036,152648,1.000,150005,1.013,1157,1.005,150011,1.000,150005,1.004,6
ARDX,20140619,1.026,1.036,62147,0.240,0.052,18-56,1,105027,105200,0.976,105032,1.007,9,1.026,105200,0.976,105032,0.999,38,1.026,105200,0.976,105032,1.006,157,1.026,105200,0.972,153852,0.973,201,1.026,105200,0.976,105032,1.008,3
ARGS,20140207,1.113,1.113,50062,0.295,0.016,4-26-33,1,102822,102852,0.991,103031,1.051,11,1.113,102852,0.955,105020,0.999,49,1.113,102852,0.955,105020,0.987,132,1.113,102852,0.899,154631,0.899,204,1.113,102852,1.000,102822,1.029,3
ASND,20150128,1.022,1.194,129000,0.262,0.085,8-56,1,103029,103034,0.930,103402,0.959,18,1.022,103034,0.930,103402,0.937,34,1.022,103034,0.919,110509,0.940,38,1.022,103034,0.862,155629,0.887,167,1.022,103034,0.958,103216,0.965,3
ATOS,20121108,1.099,0.910,3640,0.062,0.009,113,1,110008,110926,0.934,110227,1.055,53,1.099,110926,0.934,110227,1.033,214,1.099,110926,0.934,110227,1.042,618,1.099,110926,0.934,110227,1.064,1662,1.044,110026,0.967,110157,0.971,36
ATRA,20141016,1.101,0.899,49450,0.258,0.031,2-18,1,103622,104006,1.000,103622,1.067,21,1.138,105929,1.000,103622,1.123,41,1.138,105929,1.000,103622,1.068,62,1.138,105929,0.977,135604,1.077,295,1.059,103648,1.000,103622,1.041,5
