symbol,date,underwriter
AAOI,20130926,piper jaffray
AAOI,20130926,raymond james
AAPC,20150429,citigroup
AAVL,20140731,jefferies
AAVL,20140731,piper jaffray
AAVL,20140731,cowen
ABCW,20141022,sandler o'neill
ABCW,20141022,robert w baird
ABGB,20131017,citigroup
ABGB,20131017,hsbc
ABY,20140613,bofa merrill lynch
ABY,20140613,citigroup
ACRX,20110211,piper jaffray
ADAP,20150506,bofa merrill lynch
ADAP,20150506,cowen
ADAP,20150506,leerink
ADHD,20130522,aegis
ADMS,20140410,credit suisse
ADMS,20140410,piper jaffray
ADRO,20150415,bofa merrill lynch
ADRO,20150415,leerink
AEGR,20101022,leerink
AEGR,20101022,lazard
AERI,20131025,rbc
AERI,20131025,stifel nicolaus
AFH,20130212,sandler o'neill
AFMD,20140912,jefferies
AFMD,20140912,bmo
AFMD,20140912,leerink
AGIO,20130724,goldman sachs
AGIO,20130724,jp morgan
AGRX,20140523,william blair
AGRX,20140523,rbc
AGTC,20140327,barclays
AGTC,20140327,bmo
AGTC,20140327,wedbush
AKAO,20140312,credit suisse
AKAO,20140312,cowen
AKBA,20140320,credit suisse
AKBA,20140320,morgan stanley
AKER,20140123,aegis
ALDR,20140508,credit suisse
ALDR,20140508,leerink
ALDX,20140502,aegis
ALIM,20100422,credit suisse
ALIM,20100422,citigroup
ALRM,20150626,credit suisse
ALRM,20150626,goldman sachs
ALRM,20150626,bofa merrill lynch
ALTR,20171101,rbc
ALTR,20171101,jp morgan
ALTR,20171101,deutsche bank
AMBA,20121010,morgan stanley
AMBA,20121010,deutsche bank
AMDA,20140213,jmp
AMPH,20140625,jefferies
AMPH,20140625,piper jaffray
AMPH,20140625,bmo
AMRS,20100928,goldman sachs
AMRS,20100928,morgan stanley
ANAC,20101124,citigroup
ANAC,20101124,deutsche bank
ANGI,20111117,bofa merrill lynch
ANTH,20100301,deutsche bank
AOSL,20100429,piper jaffray
AOSL,20100429,deutsche bank
APIC,20150424,credit suisse
APIC,20150424,morgan stanley
APIC,20150424,jp morgan
APPF,20150626,credit suisse
APPF,20150626,morgan stanley
AQMS,20150731,national
AQXP,20140307,jefferies
AQXP,20140307,cowen
ARCP,20110907,ladenburg thalmann
ARCP,20110907,realty
ARDX,20140619,citigroup
ARDX,20140619,leerink
ARGS,20140207,piper jaffray
ARGS,20140207,stifel nicolaus
ARGS,20140207,jmp
ASND,20150128,bofa merrill lynch
ASND,20150128,leerink
ATOS,20121108,dawson james
ATRA,20141016,goldman sachs
ATRA,20141016,citigroup
AVEO,20100312,morgan stanley
AVEO,20100312,jp morgan
AVGR,20150130,canaccord genuity
AVGR,20150130,cowen
AVNU,20150210,keefe bruyette and woods
AWAY,20110629,morgan stanley
BBRG,20101021,jefferies
BBRG,20101021,piper jaffray
BBRG,20101021,wells fargo
BCOV,20120217,morgan stanley
BCOV,20120217,stifel nicolaus
BIND,20130920,credit suisse
BIND,20130920,cowen
BIOC,20140205,aegis
BIOC,20140205,feltl
BITI,20150611,rbc
BITI,20150611,stifel nicolaus
BLCM,20141218,jefferies
BLCM,20141218,piper jaffray
BLCM,20141218,citigroup
BLMN,20120808,morgan stanley
BLMN,20120808,bofa merrill lynch
BLMN,20120808,jp morgan
BLMT,20111005,keefe bruyette and woods
BLPH,20150213,cowen
BLPH,20150213,leerink
BLUE,20130619,bofa merrill lynch
BLUE,20130619,jp morgan
BLVDU,20140213,citigroup
